Attendance (%),Study Hours (per day),Assignment Score,Previous GPA,Participation Level,Internet Usage (hrs/day),Sleep Hours,Family Support Index,Extra Curricular,Final Exam Score,Pass/Fail,Performance Category
66.27,5.07,64.11,9.46,High,2.17,5.64,7,No,95.56,Pass,High
69.43,2.88,99.63,7.06,High,7.09,7.14,1,No,86.49,Pass,High
63.57,6.58,92.82,7.01,Medium,8.73,5.38,1,Yes,87.94,Pass,High
91.44,3.17,77.4,4.3,Low,9.66,8.55,10,No,89.64,Pass,High
67.84,4.19,74.16,4.21,High,6.66,7.17,2,Yes,79.89,Pass,High
64.05,1.08,77.24,7.31,High,2.66,4.36,10,Yes,84.01,Pass,High
77.13,1.51,52.08,6.63,High,1.95,8.55,3,No,84.3,Pass,High
57.05,3.75,63.71,9.04,Medium,8.32,8.79,1,Yes,75.29,Pass,High
90.11,4.36,42.37,4.96,Low,6.21,4.39,5,Yes,72.87,Pass,Medium
53.73,5.2,68.53,4.15,High,6.56,6.66,3,Yes,87.06,Pass,High
99.34,3.04,72.58,6.69,Low,8.03,5.52,1,Yes,68.34,Pass,Medium
88.61,5.86,53.66,5.42,High,7.33,5.96,8,Yes,100.0,Pass,High
59.94,7.02,97.84,4.3,High,8.51,4.9,6,No,89.44,Pass,High
50.28,6.46,94.57,8.35,Low,1.51,6.89,9,No,100.0,Pass,High
90.77,1.28,83.33,4.67,Low,7.73,8.79,3,No,56.24,Pass,Medium
85.34,4.36,72.0,7.65,Low,8.66,6.52,9,Yes,93.9,Pass,High
86.45,1.73,92.2,5.69,Medium,3.58,4.41,9,Yes,75.52,Pass,High
88.56,2.69,47.84,5.04,High,6.76,7.1,1,Yes,83.17,Pass,High
53.7,7.91,87.43,6.28,Medium,3.83,5.7,3,Yes,100.0,Pass,High
67.92,2.0,47.49,8.81,Low,9.62,8.28,6,Yes,60.35,Pass,Medium
55.79,4.49,87.65,6.35,High,1.3,6.17,8,Yes,100.0,Pass,High
93.16,5.33,56.55,8.5,Medium,6.22,4.96,4,No,86.92,Pass,High
81.16,5.92,92.63,4.75,High,2.5,4.96,5,Yes,100.0,Pass,High
66.54,4.92,96.64,8.64,Medium,7.41,7.84,9,No,100.0,Pass,High
53.18,1.07,48.93,5.42,Low,2.58,5.33,6,Yes,58.36,Pass,Medium
65.55,3.29,67.76,8.06,Medium,3.12,7.84,7,No,79.94,Pass,High
66.26,4.62,98.86,7.39,High,5.45,5.03,7,Yes,98.75,Pass,High
86.48,1.62,69.0,9.57,High,9.23,5.61,4,No,77.4,Pass,High
81.88,3.45,91.81,6.32,High,2.91,6.33,4,No,96.83,Pass,High
94.36,1.23,75.32,4.4,High,2.3,8.72,4,Yes,85.02,Pass,High
73.61,1.55,62.52,4.11,Low,7.83,8.66,5,Yes,62.36,Pass,Medium
55.98,3.78,57.15,8.96,Medium,5.51,5.03,5,No,71.39,Pass,Medium
85.66,1.93,52.19,7.15,Low,9.21,5.79,8,Yes,63.93,Pass,Medium
88.04,4.97,85.71,8.65,Low,2.32,4.75,9,Yes,100.0,Pass,High
78.06,5.83,63.19,5.41,Low,6.81,6.55,2,Yes,74.89,Pass,Medium
88.55,6.6,70.68,6.07,High,3.1,6.3,7,No,100.0,Pass,High
74.69,2.4,69.54,4.18,High,2.41,8.5,1,Yes,75.88,Pass,High
76.14,2.17,74.64,9.77,High,7.15,8.65,1,No,84.83,Pass,High
71.38,1.73,91.93,8.01,Medium,6.34,5.92,4,No,75.74,Pass,High
51.27,5.46,98.84,9.6,High,7.79,6.46,10,Yes,100.0,Pass,High
55.39,5.95,64.46,5.59,Medium,3.79,8.48,7,No,95.5,Pass,High
51.57,1.22,89.65,7.67,High,5.03,8.03,2,Yes,69.21,Pass,Medium
81.82,7.55,85.87,8.07,High,4.65,4.02,2,Yes,100.0,Pass,High
65.72,1.36,74.41,5.91,Low,9.86,5.6,1,No,49.21,Pass,Low
75.43,4.79,97.36,9.09,Low,3.63,6.11,10,No,96.03,Pass,High
95.38,5.96,52.03,9.68,Low,3.65,5.15,2,No,95.79,Pass,High
62.46,7.1,46.56,9.31,Medium,4.19,5.0,7,No,100.0,Pass,High
70.52,6.0,91.24,8.43,Medium,6.08,4.19,9,No,100.0,Pass,High
87.78,6.61,66.35,5.66,High,3.27,7.22,6,Yes,100.0,Pass,High
61.44,3.38,90.82,5.69,Medium,9.24,5.31,10,No,75.14,Pass,High
53.85,6.7,93.59,9.78,High,3.39,4.26,2,Yes,100.0,Pass,High
64.49,1.56,43.75,4.06,Medium,9.06,5.15,10,Yes,63.05,Pass,Medium
58.06,7.26,93.01,8.3,Medium,1.93,8.01,10,No,100.0,Pass,High
96.48,4.83,66.9,8.24,Medium,6.91,8.26,9,No,98.11,Pass,High
90.41,6.72,70.63,7.74,Low,9.16,6.42,7,No,94.95,Pass,High
81.67,4.17,77.6,9.94,Medium,2.52,6.08,1,No,91.63,Pass,High
93.57,5.51,95.58,5.87,Low,9.71,8.89,9,No,97.96,Pass,High
90.18,4.68,41.15,6.04,Low,5.08,5.0,2,Yes,71.71,Pass,Medium
59.33,6.12,68.61,4.47,Medium,9.51,5.08,4,Yes,78.26,Pass,High
94.63,1.57,81.26,6.66,High,7.09,5.46,9,Yes,94.24,Pass,High
76.97,1.42,83.36,5.57,High,3.71,4.86,4,No,80.58,Pass,High
90.37,2.73,81.55,6.06,High,2.69,5.9,3,No,90.26,Pass,High
94.8,2.12,48.07,9.01,Medium,3.73,8.55,1,Yes,75.11,Pass,High
65.9,7.1,57.96,9.61,High,1.84,7.08,7,No,100.0,Pass,High
55.5,2.53,61.52,5.11,Low,2.29,6.06,6,No,71.94,Pass,Medium
61.4,7.83,88.27,6.24,High,1.94,8.67,10,No,100.0,Pass,High
71.36,3.36,56.73,9.57,Medium,4.81,4.24,4,Yes,75.43,Pass,High
90.9,2.27,52.64,4.37,High,8.16,5.05,6,No,84.2,Pass,High
93.04,6.53,97.45,4.55,Low,2.27,6.83,6,Yes,100.0,Pass,High
50.35,5.61,40.53,4.98,Medium,2.17,7.08,4,No,81.44,Pass,High
75.54,4.49,99.87,7.57,High,6.79,4.2,6,No,92.13,Pass,High
70.87,4.89,80.61,4.9,Medium,2.77,6.02,10,Yes,100.0,Pass,High
61.11,6.03,89.71,9.81,Medium,1.88,7.25,8,No,100.0,Pass,High
55.99,2.6,57.68,6.68,Medium,2.5,7.49,3,No,78.32,Pass,High
66.88,7.97,40.86,7.01,High,9.31,7.19,4,No,95.15,Pass,High
97.15,7.82,84.27,5.48,Medium,8.39,5.6,10,Yes,100.0,Pass,High
66.16,5.55,90.05,6.83,High,4.19,4.47,1,No,91.29,Pass,High
75.94,2.4,84.43,7.97,Low,6.9,6.14,4,No,84.47,Pass,High
85.15,5.76,48.57,8.51,High,5.84,4.64,10,No,100.0,Pass,High
68.18,1.51,85.21,8.52,Low,7.09,8.74,10,No,87.05,Pass,High
98.59,1.21,86.14,7.47,High,7.14,6.38,9,No,88.53,Pass,High
98.12,2.8,79.51,9.43,Medium,6.66,5.59,8,Yes,87.14,Pass,High
62.59,4.24,85.97,8.9,High,3.39,7.83,4,Yes,88.97,Pass,High
74.86,7.08,90.76,8.54,Medium,1.35,6.49,7,No,100.0,Pass,High
65.04,6.09,76.82,4.33,Low,5.1,5.55,10,No,90.76,Pass,High
64.24,6.2,45.32,4.04,High,9.02,8.06,3,Yes,77.02,Pass,High
51.84,3.98,69.26,5.27,Medium,6.13,8.34,9,No,90.66,Pass,High
80.48,3.42,44.66,7.98,Low,8.49,7.37,10,No,85.21,Pass,High
75.13,3.6,64.45,6.47,Low,9.92,4.23,4,No,70.97,Pass,Medium
52.57,7.91,64.43,6.41,High,2.47,6.83,2,No,97.27,Pass,High
63.93,1.28,43.96,9.31,Low,7.23,7.82,10,No,75.91,Pass,High
95.41,7.07,60.93,9.37,Medium,7.07,4.68,5,No,100.0,Pass,High
61.98,5.05,46.66,9.46,Low,9.82,5.14,2,No,76.11,Pass,High
57.24,4.07,88.49,5.88,Low,9.87,8.41,10,No,83.65,Pass,High
74.47,6.08,96.86,8.15,Medium,7.18,4.1,6,Yes,99.91,Pass,High
99.28,4.41,44.34,5.63,Low,3.19,7.76,10,Yes,99.14,Pass,High
62.1,7.11,97.31,5.14,Low,8.19,6.37,1,No,87.88,Pass,High
83.61,7.3,71.35,5.11,Low,1.96,6.23,6,No,100.0,Pass,High
88.08,3.95,57.97,6.05,Low,8.03,4.04,4,No,67.05,Pass,Medium
61.88,2.94,44.61,6.58,Medium,9.19,8.1,3,No,64.24,Pass,Medium
86.41,5.15,70.04,8.99,Low,4.45,5.8,2,Yes,79.68,Pass,High
68.39,7.39,87.67,4.72,Medium,6.68,6.7,7,Yes,98.74,Pass,High
81.62,2.47,82.43,8.41,Low,4.87,7.39,9,Yes,91.31,Pass,High
81.68,5.36,43.01,7.19,Low,4.94,7.51,3,Yes,85.38,Pass,High
76.79,5.42,44.37,5.73,Low,3.79,8.78,6,No,82.21,Pass,High
54.51,6.13,64.17,6.96,Low,7.86,6.66,9,No,93.14,Pass,High
91.77,1.92,57.72,5.8,Medium,9.43,6.0,2,No,78.41,Pass,High
66.04,6.01,53.94,7.58,Medium,9.47,8.77,7,Yes,87.44,Pass,High
59.33,7.36,56.86,6.6,Medium,2.57,7.21,5,No,99.65,Pass,High
52.04,2.26,88.21,4.99,High,8.87,5.49,5,No,67.23,Pass,Medium
79.54,2.66,95.75,4.7,Low,7.64,4.63,7,Yes,71.27,Pass,Medium
83.88,7.8,64.31,7.28,Low,3.28,8.21,9,Yes,100.0,Pass,High
50.83,2.27,94.37,9.41,Medium,1.61,5.81,4,Yes,80.57,Pass,High
75.6,6.98,59.29,6.06,High,3.41,7.3,9,Yes,100.0,Pass,High
61.32,4.45,68.59,8.4,Low,9.21,6.35,10,Yes,83.23,Pass,High
82.26,2.73,53.56,7.95,Medium,6.7,4.99,9,No,84.14,Pass,High
58.72,7.1,78.43,9.59,Low,7.49,7.01,4,No,100.0,Pass,High
84.55,4.12,98.74,8.93,Low,3.31,4.3,3,Yes,89.23,Pass,High
69.34,4.6,76.21,7.4,Medium,7.47,6.07,2,No,78.47,Pass,High
96.84,3.51,61.47,7.94,Medium,1.25,6.73,9,No,100.0,Pass,High
56.88,5.15,78.87,9.39,Low,4.38,6.18,2,No,86.23,Pass,High
67.05,2.14,47.38,6.4,Low,6.64,7.74,6,No,63.45,Pass,Medium
55.67,3.74,93.32,5.96,Medium,2.31,8.14,5,Yes,91.85,Pass,High
96.23,7.79,70.19,4.06,Low,8.41,7.86,5,No,93.91,Pass,High
93.87,2.81,66.96,8.96,Low,3.12,4.19,4,No,77.78,Pass,High
62.9,5.6,75.15,8.81,Medium,6.87,4.97,6,No,83.01,Pass,High
83.0,3.28,77.49,4.63,Low,4.65,6.68,5,Yes,74.8,Pass,Medium
90.86,6.41,44.31,7.46,Low,6.36,8.67,4,No,83.22,Pass,High
77.76,1.92,80.96,6.78,High,1.97,8.17,9,Yes,94.39,Pass,High
76.48,7.79,54.52,4.71,Medium,1.15,8.21,6,Yes,100.0,Pass,High
62.09,4.18,82.84,9.88,High,9.19,5.52,10,Yes,90.71,Pass,High
54.66,2.65,89.35,5.29,High,3.43,6.15,10,Yes,89.5,Pass,High
94.86,1.51,88.24,4.4,High,8.38,6.35,10,No,86.03,Pass,High
95.02,2.19,73.15,7.57,Low,9.99,4.79,3,Yes,63.96,Pass,Medium
81.66,4.64,71.21,8.43,Low,2.9,4.16,10,Yes,93.19,Pass,High
66.95,3.36,48.57,4.19,High,3.39,8.73,6,Yes,86.29,Pass,High
67.46,6.8,86.52,7.95,High,6.97,5.2,1,Yes,100.0,Pass,High
86.3,4.02,56.28,7.19,High,9.69,5.2,5,Yes,84.07,Pass,High
94.86,2.74,69.8,4.62,Low,9.24,4.42,10,No,70.25,Pass,Medium
94.35,5.32,57.06,5.04,High,5.53,8.64,6,Yes,100.0,Pass,High
88.99,5.95,48.03,7.41,High,8.16,6.9,8,No,95.97,Pass,High
82.1,2.17,77.77,5.78,Medium,2.22,7.34,9,No,93.09,Pass,High
54.21,2.17,43.26,9.63,Medium,9.8,8.56,3,Yes,67.07,Pass,Medium
58.08,1.26,84.92,8.91,Low,9.68,5.73,2,No,57.68,Pass,Medium
94.93,6.15,59.06,9.9,Medium,2.47,7.11,4,No,100.0,Pass,High
80.32,5.65,40.01,5.56,Medium,3.69,4.19,8,No,80.73,Pass,High
50.46,4.32,70.67,9.82,Medium,1.9,4.93,8,Yes,100.0,Pass,High
55.07,6.91,42.81,6.59,Low,3.45,8.16,3,Yes,89.81,Pass,High
83.18,6.64,56.57,6.09,Medium,8.34,7.83,4,Yes,87.9,Pass,High
50.25,5.1,82.42,4.3,Low,4.4,5.75,3,Yes,77.46,Pass,High
58.04,7.08,43.76,4.32,High,1.8,5.88,10,Yes,100.0,Pass,High
77.44,2.44,90.36,8.15,Medium,4.08,6.67,2,Yes,79.91,Pass,High
84.59,1.78,40.23,6.75,Low,9.83,4.0,4,Yes,58.82,Pass,Medium
82.6,2.89,54.81,5.36,Medium,6.67,5.21,6,No,71.43,Pass,Medium
61.21,1.4,84.45,7.68,High,4.75,5.04,5,No,85.28,Pass,High
85.61,4.72,58.98,5.52,Low,2.5,5.25,3,Yes,83.12,Pass,High
61.86,7.56,46.11,7.47,Low,9.88,8.03,2,No,86.41,Pass,High
66.27,1.28,61.61,6.16,Low,8.39,5.4,9,Yes,63.49,Pass,Medium
87.32,1.85,56.22,8.94,High,3.53,4.96,1,Yes,82.53,Pass,High
82.48,4.17,90.56,8.92,High,1.63,6.52,9,Yes,100.0,Pass,High
92.46,7.54,58.8,6.86,High,1.51,8.33,1,No,100.0,Pass,High
82.88,3.21,87.34,6.1,Low,2.08,5.21,7,Yes,85.96,Pass,High
78.42,4.55,93.51,6.18,High,6.23,4.39,6,Yes,100.0,Pass,High
54.68,1.29,66.03,8.83,Medium,9.36,5.78,7,Yes,69.73,Pass,Medium
68.39,2.04,94.6,5.97,High,5.47,7.74,3,Yes,84.55,Pass,High
63.26,7.91,62.64,5.25,Low,8.59,6.75,3,No,73.66,Pass,Medium
62.2,7.76,97.84,4.51,Medium,5.01,8.08,1,Yes,97.95,Pass,High
98.65,1.03,45.36,6.8,High,7.38,8.8,4,No,75.05,Pass,High
69.65,7.66,81.22,6.89,Medium,7.59,7.96,2,No,93.81,Pass,High
94.6,5.47,69.63,9.05,Medium,2.57,7.02,10,Yes,100.0,Pass,High
81.56,7.08,63.26,5.33,Low,4.25,6.47,8,Yes,88.27,Pass,High
89.74,4.18,77.96,6.29,Medium,6.74,4.2,3,No,86.4,Pass,High
75.13,4.61,82.23,8.85,Medium,1.64,8.92,7,No,100.0,Pass,High
78.85,4.42,40.26,8.94,Low,4.25,5.92,7,No,83.7,Pass,High
74.63,5.67,50.02,6.31,Low,5.81,4.76,9,No,85.17,Pass,High
59.76,1.98,82.78,6.75,Low,9.97,7.33,6,Yes,68.78,Pass,Medium
86.12,1.21,79.98,5.82,Medium,5.27,5.42,1,No,63.12,Pass,Medium
64.04,3.16,97.96,9.6,Medium,8.34,6.93,8,No,93.75,Pass,High
51.22,5.93,85.66,4.71,Medium,4.89,6.93,1,No,79.0,Pass,High
82.27,2.41,97.05,9.6,Low,8.17,6.23,3,No,70.75,Pass,Medium
58.86,5.71,82.15,8.1,High,6.36,8.18,5,Yes,100.0,Pass,High
97.02,7.79,57.88,7.19,Medium,8.98,5.32,8,Yes,100.0,Pass,High
97.7,1.66,46.32,4.2,High,4.7,6.24,9,Yes,73.58,Pass,Medium
95.74,5.71,86.91,6.85,Low,6.44,6.69,7,No,100.0,Pass,High
68.51,4.11,78.65,6.45,Medium,6.67,7.32,9,No,88.68,Pass,High
50.77,7.08,42.89,4.97,High,4.76,7.92,3,Yes,94.39,Pass,High
96.42,2.24,61.6,7.94,Medium,2.3,5.97,5,Yes,94.54,Pass,High
71.41,5.85,97.41,9.83,Medium,1.84,7.23,10,No,100.0,Pass,High
98.33,6.87,70.02,7.37,Medium,1.15,4.75,8,Yes,100.0,Pass,High
98.18,7.61,65.96,8.29,High,8.86,8.66,1,No,100.0,Pass,High
92.65,5.78,67.46,4.41,Low,3.13,5.92,8,No,100.0,Pass,High
64.72,4.48,52.53,6.51,Medium,2.9,7.65,7,No,85.59,Pass,High
69.25,5.32,62.12,4.7,Low,7.62,4.1,1,No,63.12,Pass,Medium
92.56,7.08,62.19,7.68,Low,3.88,5.03,10,No,99.79,Pass,High
65.85,4.99,43.14,9.63,High,5.55,6.44,10,No,100.0,Pass,High
58.47,1.21,86.05,7.97,High,2.46,8.39,6,Yes,90.88,Pass,High
77.84,7.52,64.99,4.46,Low,9.64,6.64,1,Yes,83.79,Pass,High
96.81,5.83,89.33,6.13,Medium,8.66,8.65,2,Yes,89.28,Pass,High
84.8,5.74,91.02,7.3,High,8.77,6.42,5,No,100.0,Pass,High
78.5,2.51,52.72,6.42,Medium,4.66,6.45,2,Yes,73.3,Pass,Medium
54.86,5.61,79.44,9.0,Medium,7.86,4.6,10,No,98.85,Pass,High
80.75,3.76,68.34,8.89,Medium,2.29,8.01,1,No,86.63,Pass,High
99.5,5.56,92.81,7.67,Low,1.08,5.23,6,No,93.28,Pass,High
57.0,1.75,52.94,6.24,Medium,1.18,8.5,8,No,82.56,Pass,High
75.92,5.6,80.67,5.53,Low,6.28,8.55,8,Yes,92.88,Pass,High
93.87,8.0,76.47,4.64,Low,5.1,8.72,8,Yes,100.0,Pass,High
87.04,1.34,57.72,6.13,Medium,5.66,6.6,6,Yes,72.18,Pass,Medium
84.85,7.84,48.2,6.48,Medium,1.07,7.39,3,No,100.0,Pass,High
85.12,3.85,79.1,8.05,Medium,4.8,7.89,1,Yes,92.27,Pass,High
67.97,7.1,84.32,7.95,Medium,7.46,4.66,2,Yes,84.73,Pass,High
64.68,6.48,58.94,4.42,Low,4.98,7.0,5,Yes,89.42,Pass,High
90.47,4.97,78.69,6.37,Medium,7.59,4.17,10,No,94.91,Pass,High
90.51,6.17,63.71,5.09,Medium,3.1,6.49,5,Yes,100.0,Pass,High
93.35,7.15,82.79,4.94,Low,8.32,4.77,10,No,96.91,Pass,High
95.66,3.83,51.95,8.96,High,6.3,4.91,1,Yes,83.4,Pass,High
75.57,3.29,93.41,4.25,High,2.9,5.83,1,No,83.67,Pass,High
75.08,5.67,57.24,6.52,Low,3.13,6.16,9,Yes,96.16,Pass,High
89.91,6.65,62.07,5.01,High,6.65,7.12,2,Yes,96.51,Pass,High
82.5,6.34,43.49,9.28,Low,8.47,4.37,7,Yes,90.77,Pass,High
85.1,6.58,46.69,7.34,Medium,4.74,6.52,10,No,100.0,Pass,High
89.79,4.05,70.95,5.39,Medium,3.32,4.91,4,Yes,86.22,Pass,High
94.5,6.72,56.06,7.01,High,8.8,6.87,7,Yes,100.0,Pass,High
66.9,1.84,90.13,8.39,Medium,7.02,7.19,8,No,84.77,Pass,High
68.78,4.81,40.88,9.75,High,5.03,6.78,5,No,97.24,Pass,High
54.7,1.04,62.75,5.32,High,5.39,7.69,1,No,55.66,Pass,Medium
78.91,3.27,60.24,9.32,Medium,2.84,5.68,4,No,93.8,Pass,High
51.8,3.57,41.16,9.61,Medium,6.64,7.83,10,Yes,90.33,Pass,High
73.28,3.77,47.46,9.5,High,4.23,6.16,3,Yes,85.51,Pass,High
77.13,5.87,64.82,7.81,Medium,9.96,6.42,10,No,100.0,Pass,High
64.33,3.72,69.57,7.78,Low,5.32,7.24,5,Yes,80.18,Pass,High
79.54,4.14,64.26,6.42,Medium,5.37,4.09,10,No,89.59,Pass,High
51.53,2.66,71.86,8.51,Medium,6.09,7.27,10,Yes,90.82,Pass,High
51.87,3.61,75.71,7.19,Low,9.25,7.09,6,No,67.75,Pass,Medium
91.13,2.59,40.6,8.06,Medium,8.21,5.55,2,Yes,65.39,Pass,Medium
68.01,1.51,67.85,6.57,Medium,5.06,4.43,7,No,71.87,Pass,Medium
56.35,5.22,97.81,8.39,High,7.47,4.45,3,No,95.17,Pass,High
76.11,5.68,71.14,8.95,Medium,6.28,8.62,1,Yes,99.38,Pass,High
88.5,5.34,80.65,4.88,Medium,5.43,7.45,10,Yes,100.0,Pass,High
60.79,4.24,58.71,9.0,Low,2.73,4.64,3,Yes,73.27,Pass,Medium
81.14,3.66,86.44,7.24,High,5.18,5.78,9,No,100.0,Pass,High
54.27,7.04,86.38,9.07,High,3.21,6.96,10,Yes,100.0,Pass,High
52.58,4.63,71.28,6.59,High,9.23,8.18,6,No,87.44,Pass,High
76.57,4.35,98.56,6.27,Medium,4.02,4.22,6,Yes,96.37,Pass,High
77.03,1.18,47.53,9.49,High,9.57,5.18,4,Yes,74.82,Pass,Medium
81.87,3.39,41.02,5.51,Low,5.8,8.45,8,No,73.77,Pass,Medium
86.3,3.66,86.21,9.07,High,6.68,4.05,5,No,85.42,Pass,High
98.79,3.79,88.43,6.9,Low,5.89,5.01,7,Yes,85.38,Pass,High
75.82,5.06,47.21,7.08,High,2.16,8.8,9,No,100.0,Pass,High
66.15,4.74,55.93,5.85,High,4.38,7.07,5,No,93.82,Pass,High
89.76,5.26,41.05,7.44,Low,1.89,5.31,5,Yes,91.78,Pass,High
63.54,6.35,57.6,5.95,High,6.61,4.33,4,No,93.23,Pass,High
71.95,6.69,86.39,4.24,High,5.02,4.14,6,Yes,100.0,Pass,High
53.92,6.03,71.08,5.63,High,8.0,5.22,2,Yes,80.05,Pass,High
51.27,7.69,60.89,4.04,Medium,2.98,8.41,3,No,88.16,Pass,High
98.13,1.13,62.3,9.87,Low,2.48,6.08,1,Yes,75.12,Pass,High
91.8,2.37,40.08,9.79,High,4.66,7.6,2,No,80.58,Pass,High
84.8,1.05,57.99,6.37,Low,9.34,8.59,2,Yes,50.38,Pass,Medium
70.45,5.53,78.79,8.37,Low,7.39,6.04,8,No,97.86,Pass,High
58.66,7.29,98.45,6.07,Low,4.77,4.96,8,No,100.0,Pass,High
57.82,2.7,90.82,8.03,High,5.66,6.59,2,No,82.73,Pass,High
62.51,7.49,41.42,8.83,High,1.76,8.54,6,No,100.0,Pass,High
77.46,1.42,93.91,9.68,Low,9.86,8.02,5,No,72.83,Pass,Medium
85.73,7.54,86.99,6.4,Medium,7.0,4.33,3,Yes,100.0,Pass,High
83.01,3.46,86.82,8.7,Low,3.57,7.46,5,Yes,82.59,Pass,High
64.0,1.71,67.48,5.6,Medium,6.27,6.86,5,No,59.84,Pass,Medium
97.74,4.4,63.88,9.94,Low,1.99,8.54,5,Yes,95.75,Pass,High
